Year,PM25,source,malaria_rate,clean_fuels_pct
2000,30.0,Observed,75.47313893,0.9
2001,10.007406244895872,Proxy Model,43.16250606,1.0
2002,11.788575220014936,Proxy Model,38.16367182,1.3
2003,13.71134859286957,Proxy Model,50.07383995,1.5
2004,15.77572636345979,Proxy Model,42.78171692,1.6
2005,17.556895338578833,Proxy Model,40.65769687,1.9
2006,19.47966871143349,Proxy Model,45.13993457,2.1
2007,21.260837686552534,Proxy Model,19.41385424,2.4
2008,23.042006661671596,Proxy Model,21.49380026,2.7
2009,24.68157123905509,Proxy Model,41.970636,3.1
2010,20.93901,Observed,34.24839995,3.7
2011,30.9,Observed,35.14043916,4.3
2012,31.3,Observed,24.45663292,5.3
2013,30.3,Observed,15.64196735,6.5
2014,28.6,Observed,21.95272015,8.05
2015,26.8,Observed,19.68993949,9.8
2016,25.2,Observed,11.00753769,12.4
2017,25.6,Observed,17.72691511,15.4
2018,19.17556,Observed,23.51742498,19.1
2019,19.79916,Observed,11.94697285,23.8
